asset_id,name,unit-name,reserve,url
865965921,MetaDefender#1,AGMD1,PHNY4EBXGJSILDQCLT3POU56SX5PMDZCNZR2XB2QQELYASRTQ6EVXBV6OA,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
865967374,MetaDefender#2,AGMD2,CI6QT2CKWMZ3QJ7XF5MUVGKUZJAGADTYU47GUV2YKF2XXH4NYIDAA3SW7E,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
865967473,MetaDefender#3,AGMD3,BK2XTISK3GBFLZLQQJQ6TCWZRPA3QARAISSYOQGZG6S2K5MGCXHA5WFINI,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
865967576,MetaDefender#4,AGMD4,PLDVU67DPPFUHRSVHEYSE7HTJYBP2FDLX6I7Z3IL5SFH5G2UBT2XI3VOY4,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
865967657,MetaDefender#5,AGMD5,IRO4JB4L2FOYJ3GGVPIWRMXO2IY7CKUAZ6CQ4VQ7MZXWTUHXRZN4PIFDYI,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
865967740,MetaDefender#6,AGMD6,ZRMOVXMDZSQR7OT7MIAHVBCJ2OBSXF4AFQQWQHQOFLNJF3AE3T2HVEK6QM,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
865967825,MetaDefender#7,AGMD7,HOECSJJOUDE45KYZQU2BR3HHDQFXSKE5QXL266WIUGIW4TWTA5PIOR4VME,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
865967927,MetaDefender#8,AGMD8,KXUDHBMHLUN2SDIT6CCFIY7TR5LYGMXDMQKHFEF66EWWSASRHZL4JGWHNU,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
865968025,MetaDefender#9,AGMD9,73KM25ODTQ552B5OPVJVWGJDSBIC2IKXEMNR5UYKEFQMRYIX4PF3J5XR3I,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
865968131,MetaDefender#10,AGMD10,HM3XOB34LXN3FO44NCWXZDL4WRDZ74MHIS7KC7LW6N5KMYIVDQ7TDPSVS4,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
865968226,MetaDefender#11,AGMD11,WEFKQD5UNB5CMUV4NJQQWQEZRMMZSRY43MNOHVYNVQWA73ENRJJLVIPHZE,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
865968356,MetaDefender#12,AGMD12,KLYL5PN3AIG2T5IFYB3JTJANEHTGI7QKKAXRLQKY6DOORE65FQGXXVZVAM,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
865968475,MetaDefender#13,AGMD13,3RJGLPM4KVM56B3QKJGIAPM4XSEUYQSSGJQCSPEELXLBYDRS7R2M2V4Z2U,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
865968601,MetaDefender#14,AGMD14,5TP3DU7U7IYMGYMK3HFBYGGE4LV4BKKMDVRBVPDWHAJVGJ2AKFDREXRIHY,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
865968702,MetaDefender#15,AGMD15,GVSYAI2U6Y5UJXQ2JNCLCTHGR3OI5M6SLYMTSDO4N6U4RBLFTTO2NOK3SE,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
865968802,MetaDefender#16,AGMD16,56FP6UN5LHQTMDHK7F2HO5RJNWPJUYCMGRNNTH3YZW3HR57JVWWBEREMHA,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
865968944,MetaDefender#17,AGMD17,5D7NORSWV67DPBT73OIWVMXV6MG4L5GQMKDJ4PG6GTZKQWCBNGNCVW3W4Q,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
865969052,MetaDefender#18,AGMD18,RME3UWSPUSLYGI4H6X5AOAYXWCEYCDWZ4JPVYEYEW6FKNF3GJQZBESSUGA,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
865969117,MetaDefender#19,AGMD19,NH4SK7RSIF4FH753QJKDS34SAS3NLTOTLOEO352CYFRK777GFLMAKLKO6Y,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
865969246,MetaDefender#20,AGMD20,WSNL4AMKVCMO7A5BDCVRRWVK42E43NGFUEIMMM6WEPUDPDUJSK7FZPW4ZM,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
865969352,MetaDefender#21,AGMD21,2WICEQ5F2HD23DLR5NIINUFHCJ5463M6AOFSVDZSAMMP3VYZCEL3ZXG7PA,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
865969489,MetaDefender#22,AGMD22,CYMXGTYCEZVEBK6KMNR6HE45V3A2IGEO6QQMSH2PN6WMB3CBOYC5EG3PH4,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
865969603,MetaDefender#23,AGMD23,TESJMBAW5ONAW35GOLT3AU7CCMHSLOUQACN4JM4SSUHSFXLHIH5XMYAPNI,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
865969802,MetaDefender#24,AGMD24,S26CVPFN5ILA32QUYSGISV3EELOLV2SSTNW3YTRTIROR4RPLQPMFSOAMFY,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
865969959,MetaDefender#25,AGMD25,AXRF5BZ3HGA5ZC433BN3GSPP44RDMFADYQOZITU7NQN5QZNQ5B4AFVCNUY,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
865970130,MetaDefender#26,AGMD26,2XZJIOJVMCAYBC5X53QQYQGBJYORXLVWW2ENOHSA3IABIXPIEVQADQX4LA,template-ipfs://{ipfscid:1:dag-pb:reserve:sha2-256}
